id,keyword,cluster_id,cluster_name,maps_to_article,is_primary,priority,funnel_stage,article_type,search_intent,target_reader,suggested_slug,cannibalization_note,cta_policy,article_policy
1,AI 自社専用,C1,自社専用AIチャット,A01,secondary,S,導入検討,基礎解説,自社だけで使えるAIを持ちたい。何ができて何が必要か知りたい,AIに詳しくない中小企業の経営者・担当者,company-dedicated-ai-chat,"C1内は意味が近く全てA01に集約。単独記事化しない",自社専用環境を小さく始める導線,A01ピラーのサブKWとして本文・見出しに自然に含める
2,自社専用 AI,C1,自社専用AIチャット,A01,secondary,S,導入検討,基礎解説,自社専用のAIを用意する方法を知りたい,AIに詳しくない中小企業の経営者・担当者,company-dedicated-ai-chat,"語順違いでKW1とほぼ同義。A01に統合",自社専用環境を小さく始める導線,A01の導入部・FAQで使用
3,自社専用 AIチャット,C1,自社専用AIチャット,A01,primary,S,導入検討,基礎解説,自社専用のAIチャットとは何か・どう用意するか・費用や流れを知りたい,AIに詳しくない中小企業の経営者・担当者,company-dedicated-ai-chat,"C1クラスタの代表KW。会社専用/企業専用/専用も全てここへ",上中下＋セクションCTA。専用URL・ロゴ・会社名訴求,クラスタ中核ピラー。基礎+用意する方法+費用+流れ
4,自社専用 ChatGPT,C4,ChatGPTを会社で使う,A07,secondary,A,比較検討,各AI別解説,ChatGPTを自社専用のように使いたい,ChatGPTは知っているが会社利用は未経験の担当者,chatgpt-for-company,"A01と意味が近いがChatGPT明示のためA07へ。A01から内部リンク",会社名・ロゴで自社専用風に使う導線,ChatGPTを会社で使う文脈の主要サブKW
5,会社専用 AIチャット,C1,自社専用AIチャット,A01,secondary,S,導入検討,基礎解説,会社だけで使えるAIチャットを持ちたい,AIに詳しくない中小企業の経営者・担当者,company-dedicated-ai-chat,"自社専用とほぼ同義。A01に統合",自社専用環境を小さく始める導線,A01見出し・本文で表記ゆれとして併記
6,企業専用 AIチャット,C1,自社専用AIチャット,A01,secondary,A,導入検討,基礎解説,企業向けの専用AIチャットを知りたい,中小企業の担当者,company-dedicated-ai-chat,"自社/会社専用と同義。A01に統合",自社専用環境を小さく始める導線,A01本文で併記
7,専用AIチャット,C1,自社専用AIチャット,A01,secondary,A,導入検討,基礎解説,専用のAIチャットを持つ方法を知りたい,中小企業の担当者,company-dedicated-ai-chat,"単独だと曖昧。A01に統合し専用URL文脈で使う",専用URL・ロゴ訴求,A01本文で使用
8,オリジナルAI,C2,オリジナルAI,A02,primary,S,比較検討,基礎解説,オリジナルのAIとは何か・どう作るのか知りたい,オリジナルのAIに興味がある中小企業の担当者,original-ai,"C2クラスタ代表。作り方/作成/チャットも統合",好きな名前・見た目で始める導線,とは+作り方+勘違い解消のクラスタ中核
9,AI オリジナル,C2,オリジナルAI,A02,secondary,A,比較検討,基礎解説,独自のAIを持ちたい,中小企業の担当者,original-ai,"語順違いでKW8と同義。A02に統合",好きな名前で始める導線,A02導入部で併記
10,オリジナルAIチャット,C2,オリジナルAI,A02,secondary,A,比較検討,基礎解説,オリジナルのAIチャットを作りたい,中小企業の担当者,original-ai,"A01(自社専用AIチャット)と近い。オリジナル=見た目/名前文脈でA02、専用環境=A01に振り分け",好きな名前・ロゴで始める導線,A02本文。A01へ内部リンク
